loan_id,loan_status,loan_amnt,funded_amnt,interest_rate,monthly_payment,term,grade,sub_grade,dti,delinq_2yrs,inquiries_6mo,public_records,revolving_utilization,open_accounts,total_accounts,purpose,home_ownership,state,earliest_cr_Line,employment_length,annual_income,verification_status,VAR24,recoveries,total_rec_prncp,default_flag,_LEVEL_,pred_prob,Fair Rate ,Grade implied rate
2003,Fully Paid,5000,5000,7.56,155.67,36 months,A,A3,14.78,0,0,0,55.1,6,13,credit_card,MORTGAGE,TX,MAR2008,5 years,98000,Not Verified,5000,0,5000,0,1,0.0412613671,0.08571722428886189,0.09318522201240317
2076,Fully Paid,25000,25000,15.02,595.02,60 months,C,C3,33.01,0,5,0,10.2,22,45,debt_consolidation,OWN,OH,MAR2005,10+ years,69000,Source Verified,25000,0,25000,0,1,0.3224780746,0.21548332681986423,0.1715567968159956
2087,Fully Paid,5000,5000,16.14,176.14,36 months,C,C4,3.05,0,2,0,59.7,10,28,debt_consolidation,OWN,NY,FEB2003,5 years,125000,Not Verified,5000,0,5000,0,1,0.1455350248,0.13565692753833952,0.1715567968159956
2118,Fully Paid,29000,29000,8.19,911.3,36 months,A,A4,21.25,0,0,0,15.6,15,34,credit_card,MORTGAGE,IL,JUN1984,10+ years,59000,Source Verified,29000,0,29000,0,1,0.0740352689,0.09820141474632578,0.09318522201240317
2162,Fully Paid,10000,10000,12.98,336.85,36 months,B,B5,27.84,0,0,0,16.3,5,6,debt_consolidation,RENT,IL,DEC2009,2 years,30000,Source Verified,10000,0,10000,0,1,0.2068306125,0.15538393629837294,0.12551628685844768
2192,Fully Paid,10000,10000,14.47,235.13,60 months,C,C2,29.97,0,0,1,35.7,10,59,credit_card,RENT,OH,SEP1992,6 years,43000,Not Verified,10000,0,10000,0,1,0.1936044584,0.1573430565167174,0.1715567968159956
2211,Fully Paid,12950,12950,7.56,403.19,36 months,A,A3,19.88,0,1,0,5,15,24,debt_consolidation,MORTGAGE,AZ,DEC2005,10+ years,55000,Source Verified,12950,0,12950,0,1,0.0656770166,0.09501760055656289,0.09318522201240317
2223,Fully Paid,6400,6400,7.56,199.26,36 months,A,A3,11.58,0,0,0,33.5,16,20,debt_consolidation,MORTGAGE,MI,MAR2008,10+ years,40000,Source Verified,6400,0,6400,0,1,0.0547357905,0.09084988347166655,0.09318522201240317
2281,Fully Paid,11000,11000,17.97,279.15,60 months,D,D1,22.6,0,0,0,97,6,12,debt_consolidation,RENT,TX,JUN2006,4 years,42000,Verified,11000,0,11000,0,1,0.3233304193,0.2200450821733924,0.21124155917823043
2319,Fully Paid,40000,40000,7.56,1245.36,36 months,A,A3,15.13,0,0,1,27.6,15,22,debt_consolidation,OWN,NE,DEC2004,2 years,115000,Source Verified,40000,0,40000,0,1,0.0982726957,0.10743390266358803,0.09318522201240317
2492,Fully Paid,10450,10450,12.98,237.67,60 months,B,B5,21.17,0,1,0,18.3,20,40,credit_card,MORTGAGE,NY,MAY2003,10+ years,58000,Not Verified,10450,0,10450,0,1,0.1164689603,0.11808078536726727,0.12551628685844768
2560,Fully Paid,9500,9500,8.81,301.26,36 months,A,A5,20.04,0,1,0,30.5,8,13,credit_card,MORTGAGE,FL,NOV2002,10+ years,40000,Verified,9500,0,9500,0,1,0.0569692762,0.09170065983125221,0.09318522201240317
2583,Fully Paid,28000,28000,14.47,963.38,36 months,C,C2,22.11,1,2,0,63,10,12,debt_consolidation,MORTGAGE,NJ,JUN2015,6 years,155000,Not Verified,28000,0,28000,0,1,0.2315010077,0.17443977254615808,0.1715567968159956
2624,Fully Paid,10000,10000,15.02,346.76,36 months,C,C3,11.64,0,1,0,38.8,9,27,other,OWN,OH,DEC2006,< 1 year,66000,Not Verified,10000,0,10000,0,1,0.1641352171,0.14404825106831828,0.1715567968159956
2648,Fully Paid,8000,8000,7.02,247.09,36 months,A,A2,10.47,0,4,0,5.3,15,36,home_improvement,OWN,CA,JAN2005,10+ years,55000,Source Verified,8000,0,8000,0,1,0.0569959925,0.0917108365682045,0.09318522201240317
2660,Fully Paid,9000,9000,8.19,282.82,36 months,A,A4,11.87,0,1,0,53.6,8,30,debt_consolidation,MORTGAGE,MI,MAY2007,8 years,90000,Not Verified,9000,0,9000,0,1,0.0400078009,0.08523971754317929,0.09318522201240317
2742,Fully Paid,12000,12000,24.37,473.13,36 months,E,E2,30.05,0,0,0,49.5,9,64,debt_consolidation,MORTGAGE,MA,AUG1998,< 1 year,25000,Not Verified,12000,0,12000,0,1,0.2822314777,0.2113707391130645,0.26321838497840144
2845,Fully Paid,7000,7000,18.94,256.38,36 months,D,D2,17.68,0,1,0,55.6,9,12,debt_consolidation,MORTGAGE,FL,AUG2007,< 1 year,60000,Source Verified,7000,0,7000,0,1,0.2734493748,0.19689722792231187,0.21124155917823043
2948,Fully Paid,1500,1500,13.56,50.95,36 months,C,C1,19.07,0,1,0,6.5,17,28,credit_card,RENT,KS,JUL2011,2 years,28000,Source Verified,1500,0,1500,0,1,0.2428629865,0.17956563568315156,0.1715567968159956
2952,Fully Paid,13525,13525,15.02,468.99,36 months,C,C3,26.78,1,1,0,27.7,23,31,debt_consolidation,RENT,OH,SEP2011,5 years,144000,Source Verified,13525,0,13525,0,1,0.3477747797,0.22689572693448903,0.1715567968159956
2993,Fully Paid,20000,20000,26.31,602.49,60 months,E,E4,22.66,0,0,0,84.5,5,19,credit_card,MORTGAGE,LA,JUN2005,4 years,58000,Not Verified,20000,0,20000,0,1,0.3486744072,0.2446522360204955,0.26321838497840144
3005,Fully Paid,8500,8500,8.19,267.11,36 months,A,A4,12.88,0,0,0,4.3,10,48,other,MORTGAGE,MD,APR2006,< 1 year,75000,Not Verified,8500,0,8500,0,1,0.0346176278,0.08318650007796131,0.09318522201240317
3009,Fully Paid,8000,8000,6.46,245.05,36 months,A,A1,22,0,0,1,36.9,11,34,debt_consolidation,MORTGAGE,CA,DEC1999,7 years,99000,Source Verified,8000,0,8000,0,1,0.0515313678,0.08962925909995928,0.09318522201240317
3140,Fully Paid,12350,12350,16.91,439.76,36 months,C,C5,37.32,0,1,0,50.3,19,42,credit_card,RENT,NY,MAR2000,10+ years,43000,Source Verified,12350,0,12350,0,1,0.3424715599,0.2245032230090114,0.1715567968159956
3150,Fully Paid,25000,25000,6.46,765.77,36 months,A,A1,14.35,0,0,0,60.7,9,14,debt_consolidation,MORTGAGE,MI,JUN2004,5 years,98000,Not Verified,25000,0,25000,0,1,0.0532967146,0.0903017126213363,0.09318522201240317
3162,Fully Paid,10000,10000,12.98,227.43,60 months,B,B5,12.25,1,1,0,21.8,23,40,car,MORTGAGE,RI,AUG1995,1 year,60000,Not Verified,10000,0,10000,0,1,0.1031547571,0.11258440809433147,0.12551628685844768
3175,Fully Paid,15000,15000,10.33,486.34,36 months,B,B1,6.77,0,1,0,33,9,12,debt_consolidation,RENT,NY,MAR1990,10+ years,101000,Not Verified,15000,0,15000,0,1,0.1243525359,0.12133528772887396,0.12551628685844768
3298,Fully Paid,10000,10000,10.72,326.07,36 months,B,B2,22.39,2,1,0,29.6,17,45,moving,RENT,CO,APR2004,2 years,70000,Source Verified,10000,0,10000,0,1,0.164386169,0.13786199592301437,0.12551628685844768
3333,Fully Paid,29050,29050,10.33,941.87,36 months,B,B1,23.65,0,0,0,3.1,17,35,home_improvement,MORTGAGE,IL,JAN2009,< 1 year,68000,Source Verified,29050,0,29050,0,1,0.1726640667,0.14127928256814892,0.12551628685844768
3348,Fully Paid,3000,3000,6.46,91.9,36 months,A,A1,5.04,0,0,1,19.5,11,25,credit_card,MORTGAGE,FL,JUN2005,1 year,100000,Source Verified,3000,0,3000,0,1,0.0400969383,0.08527367164132951,0.09318522201240317
3360,Fully Paid,5000,5000,10.33,162.12,36 months,B,B1,5.3,0,0,0,29.6,6,18,debt_consolidation,MORTGAGE,WI,DEC1982,n/a,36000,Not Verified,5000,0,5000,0,1,0.1123588277,0.11638403798614029,0.12551628685844768
3368,Fully Paid,1000,1000,13.56,33.97,36 months,C,C1,24.18,0,2,0,5.8,7,14,moving,RENT,TN,MAR2003,1 year,42140,Source Verified,1000,0,1000,0,1,0.2485551212,0.18213359536192966,0.1715567968159956
3452,Fully Paid,30000,30000,18.94,1098.78,36 months,D,D2,21.53,0,0,0,28.4,15,23,home_improvement,MORTGAGE,TX,SEP2004,4 years,130000,Not Verified,30000,0,30000,0,1,0.3226157083,0.2197134125737383,0.21124155917823043
3479,Fully Paid,30000,30000,20.89,809.75,60 months,D,D4,27.84,0,1,0,81,11,34,debt_consolidation,RENT,CA,JUN1994,10+ years,101000,Verified,30000,0,30000,0,1,0.4031173824,0.2570711110284044,0.21124155917823043
3535,Fully Paid,3500,3500,18.94,128.19,36 months,D,D2,17.91,2,2,0,50,8,30,small_business,MORTGAGE,NV,SEP2001,10+ years,127300,Verified,3500,0,3500,0,1,0.2711876915,0.1958476685974164,0.21124155917823043
3734,Fully Paid,10000,10000,11.8,331.19,36 months,B,B4,10.6,1,1,0,17.3,10,21,debt_consolidation,RENT,IL,JUN1982,1 year,100000,Source Verified,10000,0,10000,0,1,0.1585846809,0.1354670221598043,0.12551628685844768
3871,Fully Paid,15000,15000,8.19,471.37,36 months,A,A4,38.92,0,0,1,18.5,24,33,debt_consolidation,RENT,CA,MAR2005,10+ years,60000,Source Verified,15000,0,15000,0,1,0.1394409058,0.12311564171369063,0.09318522201240317
4195,Fully Paid,10000,10000,8.19,314.25,36 months,A,A4,19.87,0,0,0,34,7,44,debt_consolidation,MORTGAGE,TX,FEB2002,8 years,65000,Verified,10000,0,10000,0,1,0.044574923,0.08697941953187849,0.09318522201240317
4233,Fully Paid,3000,3000,11.8,99.36,36 months,B,B4,38.02,0,1,0,47.9,8,27,home_improvement,MORTGAGE,MI,MAR1991,n/a,54446,Not Verified,3000,0,3000,0,1,0.1916614434,0.14912179090085037,0.12551628685844768
4297,Fully Paid,9500,9500,8.19,298.53,36 months,A,A4,11.43,0,0,0,32,7,11,credit_card,RENT,MN,DEC2005,5 years,50000,Not Verified,9500,0,9500,0,1,0.0614378336,0.09340281668740381,0.09318522201240317
4331,Fully Paid,6000,6000,10.72,195.64,36 months,B,B2,13.37,0,1,0,21.4,7,18,vacation,MORTGAGE,NM,MAR2002,n/a,65520,Not Verified,6000,0,6000,0,1,0.128220725,0.12293215585062968,0.12551628685844768
4345,Fully Paid,8000,8000,16.14,281.81,36 months,C,C4,24.76,2,0,0,52.9,10,59,debt_consolidation,MORTGAGE,MI,FEB2006,2 years,46000,Not Verified,8000,0,8000,0,1,0.1527480554,0.13891102687344353,0.1715567968159956
4368,Fully Paid,12000,12000,11.31,394.63,36 months,B,B3,17.91,2,0,0,79,12,22,debt_consolidation,MORTGAGE,CA,JUL2002,10+ years,80000,Not Verified,12000,0,12000,0,1,0.1126845984,0.11651852284000434,0.12551628685844768
4562,Fully Paid,28000,28000,15.02,970.91,36 months,C,C3,10.74,0,0,0,15.1,19,24,debt_consolidation,RENT,CA,AUG2014,n/a,58000,Source Verified,28000,0,28000,0,1,0.4226079055,0.26065607517279193,0.1715567968159956
4736,Fully Paid,9000,9000,11.8,298.07,36 months,B,B4,14.47,0,2,0,2.5,29,56,debt_consolidation,OWN,NJ,JUN2005,n/a,45000,Not Verified,9000,0,9000,0,1,0.1852244619,0.14646447237480384,0.12551628685844768
4753,Fully Paid,1000,1000,25.34,39.94,36 months,E,E3,1.8,0,0,0,33.5,3,3,debt_consolidation,RENT,PA,APR2014,7 years,40000,Not Verified,1000,0,1000,0,1,0.3123473183,0.2264558695149921,0.26321838497840144
4896,Fully Paid,16000,16000,19.92,423.2,60 months,D,D3,26.89,0,1,1,53.2,17,19,credit_card,RENT,NC,DEC2012,4 years,54000,Source Verified,16000,0,16000,0,1,0.4336860832,0.2712568570939923,0.21124155917823043
5052,Fully Paid,14000,14000,19.92,519.72,36 months,D,D3,16.8,0,2,1,32.5,17,21,credit_card,RENT,FL,AUG2001,10+ years,75000,Source Verified,14000,0,14000,0,1,0.3770155644,0.2449582716761284,0.21124155917823043
5083,Fully Paid,1200,1200,12.98,40.43,36 months,B,B5,16.21,0,1,0,50,9,23,other,RENT,PA,DEC2007,10+ years,55000,Not Verified,1200,0,1200,0,1,0.1172634055,0.11840874870658848,0.12551628685844768
5098,Fully Paid,10000,10000,10.72,326.07,36 months,B,B2,11.44,0,3,1,14.4,9,27,debt_consolidation,RENT,KY,FEB2002,n/a,30000,Not Verified,10000,0,10000,0,1,0.1757987955,0.14257336317322317,0.12551628685844768
5122,Fully Paid,4000,4000,10.33,129.69,36 months,B,B1,25.91,0,0,0,99.1,3,18,home_improvement,MORTGAGE,SC,APR2008,7 years,27000,Verified,4000,0,4000,0,1,0.1037803222,0.11284265425046507,0.12551628685844768
5156,Fully Paid,4400,4400,8.81,139.54,36 months,A,A5,13.57,0,0,0,93.2,6,18,other,MORTGAGE,WI,JUN2008,1 year,69000,Not Verified,4400,0,4400,0,1,0.039022827,0.08486452261404726,0.09318522201240317
5190,Fully Paid,4800,4800,16.91,170.92,36 months,C,C5,5.44,0,0,0,34.1,7,11,debt_consolidation,MORTGAGE,TX,APR2008,6 years,100000,Source Verified,4800,0,4800,0,1,0.1694590714,0.14645006407848635,0.1715567968159956
5256,Fully Paid,10000,10000,8.81,317.12,36 months,A,A5,3.48,0,0,0,52.6,3,5,credit_card,MORTGAGE,WA,MAY2010,1 year,30000,Not Verified,10000,0,10000,0,1,0.0395453576,0.08506356426523855,0.09318522201240317
5272,Fully Paid,5000,5000,10.72,163.04,36 months,B,B2,19.47,0,0,0,17.5,13,29,other,MORTGAGE,TX,DEC1986,10+ years,95000,Source Verified,5000,0,5000,0,1,0.1063295231,0.11389501688008961,0.12551628685844768
5462,Fully Paid,32000,32000,10.72,691.3,60 months,B,B2,15.84,0,0,0,14.4,7,19,major_purchase,MORTGAGE,LA,SEP2002,10+ years,125087,Not Verified,32000,0,32000,0,1,0.1233359594,0.12091562401435287,0.12551628685844768
5468,Fully Paid,23650,23650,16.91,586.62,60 months,C,C5,32.36,0,1,0,61.3,15,41,home_improvement,MORTGAGE,AL,DEC1993,2 years,191000,Not Verified,23650,0,23650,0,1,0.246406792,0.18116439434102946,0.1715567968159956
5480,Fully Paid,11000,11000,8.81,348.83,36 months,A,A5,10.13,0,1,0,70,5,7,credit_card,RENT,NJ,SEP1995,1 year,70000,Not Verified,11000,0,11000,0,1,0.062872836,0.09394943586560975,0.09318522201240317
5496,Fully Paid,6000,6000,12.98,202.11,36 months,B,B5,15.92,0,0,0,98.6,6,8,credit_card,RENT,CO,JAN2007,10+ years,67000,Source Verified,6000,0,6000,0,1,0.1547746137,0.13389414795532784,0.12551628685844768
5516,Fully Paid,35000,35000,17.97,888.2,60 months,D,D1,3.84,0,2,1,1.8,19,39,debt_consolidation,RENT,FL,MAY1996,< 1 year,104000,Not Verified,35000,0,35000,0,1,0.3172304463,0.21721432176420477,0.21124155917823043
5528,Fully Paid,7000,7000,15.02,242.73,36 months,C,C3,9.92,0,0,0,59.8,12,15,debt_consolidation,MORTGAGE,TX,JUN2012,6 years,41000,Not Verified,7000,0,7000,0,1,0.1558880797,0.14032762296924275,0.1715567968159956
5643,Fully Paid,10000,10000,10.72,326.07,36 months,B,B2,14.96,0,0,0,12.2,13,17,credit_card,RENT,CA,DEC2014,5 years,45000,Not Verified,10000,0,10000,0,1,0.1409199185,0.1281746444539292,0.12551628685844768
5667,Fully Paid,31400,31400,15.02,747.34,60 months,C,C3,14.12,0,2,0,18,26,64,credit_card,MORTGAGE,MN,JAN1996,2 years,100000,Source Verified,31400,0,31400,0,1,0.215573048,0.16725400474013583,0.1715567968159956
5677,Fully Paid,9000,9000,18.94,329.64,36 months,D,D2,15.34,0,0,1,30.4,13,28,medical,MORTGAGE,NM,MAR2001,5 years,47000,Source Verified,9000,0,9000,0,1,0.2657569815,0.19332748713730513,0.21124155917823043
5686,Fully Paid,16000,16000,10.33,518.76,36 months,B,B1,0.75,0,0,0,3.6,7,11,debt_consolidation,OWN,NY,APR2008,10+ years,40000,Source Verified,16000,0,16000,0,1,0.1132632356,0.11675739619258733,0.12551628685844768
5694,Fully Paid,3700,3700,12.98,124.64,36 months,B,B5,13.52,1,0,0,47.6,12,21,credit_card,RENT,CA,NOV2005,3 years,80000,Not Verified,3700,0,3700,0,1,0.1375892945,0.12679969427603988,0.12551628685844768
5744,Fully Paid,21000,21000,13.56,483.86,60 months,C,C1,12.15,0,4,0,14.7,35,47,credit_card,MORTGAGE,GA,SEP2007,3 years,125000,Source Verified,21000,0,21000,0,1,0.2401554473,0.17834415167745662,0.1715567968159956
5764,Fully Paid,3000,3000,26.31,121.37,36 months,E,E4,0.1,0,0,0,0.2,3,24,medical,RENT,VA,SEP2002,n/a,71286,Source Verified,3000,0,3000,0,1,0.4503340865,0.2955739266758327,0.26321838497840144
